Varname,Question,Construct,Type,Lable
n24dy24,n24dy24,attribution,factor,"how much do you think global warming is affecting the following in india? would you
say a lot, some, only a little, or not at all? - droughts and water shortages"
n24ey24,n24ey24,attribution,factor,"how much do you think global warming is affecting the following in india? would you
say a lot, some, only a little, or not at all? - severe heat waves"
n24fy24,n24fy24,attribution,factor,"how much do you think global warming is affecting the following in india? would you
say a lot, some, only a little, or not at all? - severe floods"
n24gy24,n24gy24,attribution,factor,"how much do you think global warming is affecting the following in india? would you
say a lot, some, only a little, or not at all? - severe air pollution"
n24hy24,n24hy24,attribution,factor,"how much do you think global warming is affecting the following in india? would you
say a lot, some, only a little, or not at all? - agricultural pests and diseases"
n24iy24,n24iy24,attribution,factor,"how much do you think global warming is affecting the following in india? would you
say a lot, some, only a little, or not at all? - severe storms"
n24jy24,n24jy24,attribution,factor,"how much do you think global warming is affecting the following in india? would you
say a lot, some, only a little, or not at all? - monsoons"
n24ky24,n24ky24,attribution,factor,electricity power outages
n24ly24,n24ly24,attribution,factor,water pollution
segment,segment,demographic,factor,segmentation
